EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PPHYTN,PPHYTN_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UG/KG,,UG/KG,,UG/KG,,UG/KG,,DEG C
  096U20160426,  P15S,     1,  1,     10,   2010,2,20160427,0659,-45.5031, 149.3977, 4304,   3025.3,   1.7950,  34.7330,2,  34.7419,3,    192.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.034,2,    0.018,2,        0,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5689
  096U20160426,  P15S,     1,  1,     19,   2019,2,20160427,0659,-45.5031, 149.3977, 4304,   3025.4,   1.7930,  34.7330,2,  34.7328,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5670
  096U20160426,  P15S,     1,  1,     21,   2021,2,20160427,0659,-45.5031, 149.3977, 4304,   3025.4,   1.7940,  34.7330,2,  34.7325,2,    192.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5679
  096U20160426,  P15S,     1,  1,     22,   2022,2,20160427,0659,-45.5031, 149.3977, 4304,   3025.4,   1.7930,  34.7330,2,  34.7329,2,    192.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5670
  096U20160426,  P15S,     1,  1,     28,   2028,2,20160427,0659,-45.5031, 149.3977, 4304,   3025.6,   1.7920,  34.7330,2,  34.7331,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5660
  096U20160426,  P15S,     1,  1,     17,   2017,2,20160427,0659,-45.5031, 149.3977, 4304,   3025.8,   1.7930,  34.7330,2,  34.7332,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.037,2,    0.019,2,        0,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5669
  096U20160426,  P15S,     1,  1,     18,   2018,2,20160427,0659,-45.5031, 149.3977, 4304,   3026.0,   1.7930,  34.7330,2,  34.7340,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.036,2,    0.019,2,    0.013,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5669
  096U20160426,  P15S,     1,  1,     26,   2026,2,20160427,0659,-45.5031, 149.3977, 4304,   3026.3,   1.7940,  34.7330,2,  34.5112,3,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5679
  096U20160426,  P15S,     1,  1,     31,   2031,2,20160427,0659,-45.5031, 149.3977, 4304,   3026.6,   1.7910,  34.7330,2,  34.7333,2,    192.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5649
  096U20160426,  P15S,     1,  1,     30,   2030,2,20160427,0659,-45.5031, 149.3977, 4304,   3026.7,   1.7910,  34.7330,2,  34.7328,2,    192.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5649
