WMO_,MBARIIDSTR,SENSOR,CYCLES,FLAG,BADCYCLENUM_1,BADCYCLENUM_2,BADCYCLENUM_3,BADCYCLENUM_4,BADCYCLENUM_5,BADCYCLENUM_6,EST_CYCLE_NUM_1,EST_CYCLE_NUM_2,EST_CYCLE_NUM_3,EST_CYCLE_NUM_4,EST_CYCLE_NUM_5,EST_CYCLE_NUM_6,EST_CYCLE_NUM_7
5906249,ua18321,PH,"1-",4,1,,,,,,2,,,,,,
5906250,ua18069,PH,"105",4,105,,,,,,102,,,,,,
5906294,ua19875,PH,"106,",4,106,,,,,,,,,,,,
5906295,ua19063,PH,"3,",4,3,,,,,,,,,,,,
5906296,ua19050,PH,"10,",4,10,,,,,,,,,,,,
5906297,ua19211,PH,"58-",4,58,,,,,,59,,,,,,
5906300,ua19412,PH,"2,110-",4,2,110,,,,,111,,,,,,
5906302,ua19644,PH,"27,33,45,74,",4,27,33,45,74,,,,,,,,,
5906303,ua19017,PH,"13-",4,13,,,,,,8,13,,,,,
5906305,un1113,PH,"1-",4,1,,,,,,2,,,,,,
5906306,un1114,PH,"8-",4,8,,,,,,9,19,,,,,
5906307,un1115,PH,"35-50",4,35,,,,,,36,,,,,,
5906308,un1116,PH,"13-",4,13,,,,,,13,,,,,,
5906310,un1204,PH,"118-",4,118,,,,,,,,,,,,
5906313,ua19327,PH,"9-",4,9,,,,,,26,,,,,,
5906318,ua19018,PH,"1,",4,1,,,,,,,,,,,,
5906319,ua19072,PH,"1-",4,1,,,,,,2,,,,,,
5906339,ua19588,PH,"1-",4,1,,,,,,2,13,55,63,71,,
5906339,ua19588,PH,"2-7,10,14,",4,2,10,14,,,,2,13,55,63,71,,
5906342,ua19142,PH,"90-",4,90,,,,,,4,34,103,,,,
5906343,ua19881,PH,"1-",4,1,,,,,,2,50,,,,,
5906436,ua19605,PH,"24-",4,24,,,,,,8,24,30,,,,
5906438,ua19129,PH,"24-",4,24,,,,,,3,19,23,,,,
5906441,ua19719,PH,"52,53,60,129,161",4,52,53,60,129,161,,,,,,,,
5906444,un1122,PH,"15-",4,15,,,,,,16,,,,,,
5906448,ua19751,PH,"19-",4,19,,,,,,19,25,43,48,,,
5906449,ua20043,PH,"17-",4,17,,,,,,18,26,44,64,69,,
5906471,ua20532,PH,"54-",4,54,,,,,,55,,,,,,
5906472,ua20060,PH,"1-",4,1,,,,,,16,72,,,,,
5906473,ua20912,PH,"1,",4,1,,,,,,63,71,81,86,,,
5906474,ua20084,PH,"29-",4,29,,,,,,30,,,,,,
5906475,ua20592,PH,"1-",4,1,,,,,,11,,,,,,
5906476,ua20135,PH,"13-",4,13,,,,,,4,14,,,,,
5906483,ua20520,PH,"11-",4,11,,,,,,11,56,,,,,
5906484,ua20175,PH,"57,",4,57,,,,,,77,,,,,,
5906488,ua19389,PH,"63-64",4,63,,,,,,,,,,,,
5906491,ua20220,PH,"1-",4,1,,,,,,7,17,24,35,40,49,
5906492,ua20627,PH,"1-",4,1,,,,,,2,,,,,,
5906499,ua19441,PH,"49,",4,49,,,,,,,,,,,,
5906500,ua19302,PH,"1-",4,1,,,,,,6,17,,,,,
5906501,ua19014,PH,"1-",4,1,,,,,,3,7,,,,,
5906503,ua20144,PH,"1-",4,1,,,,,,5,,,,,,
5906508,un1118,PH,"6,30,21,",4,6,30,21,,,,,,,,,,
5906509,un1119,PH,"39,",4,39,,,,,,,,,,,,
5906511,ua20150,PH,"1-",4,1,,,,,,6,24,33,39,48,61,68
5906515,ua20492,PH,"68-",4,68,,,,,,68,,,,,,
5906516,ua20134,PH,"1-",4,1,,,,,,4,11,19,23,42,49,61
5906517,ua20842,PH,"39,",4,39,,,,,,,,,,,,
5906519,ua20603,PH,"72-",4,72,,,,,,72,,,,,,
5906522,ua20496,PH,"25-",4,25,,,,,,25,,,,,,
5906523,ua20136,PH,"40-",4,40,,,,,,44,,,,,,
5906524,ua20644,PH,"21-",4,21,,,,,,21,,,,,,
5906527,ua20662,PH,"1-",4,1,,,,,,2,,,,,,
5906528,ua20002,PH,"1-",4,1,,,,,,5,29,36,47,56,,
5906531,ua20589,PH,"1,",4,1,,,,,,,,,,,,
5906533,ua20728,PH,"1,",4,1,,,,,,,,,,,,
5906534,ua20528,PH,"7,",4,7,,,,,,,,,,,,
5906536,ua20138,PH,"32-",4,32,,,,,,36,52,57,,,,
5906537,un1448,PH,"23-",4,23,,,,,,25,,,,,,
5906539,un1451,PH,"50-",4,50,,,,,,49,53,,,,,
5906540,un1452,PH,"36-",4,36,,,,,,41,54,,,,,
5906541,ua20057,PH,"13-",4,13,,,,,,11,,,,,,
5906550,ua20040,PH,"1,",4,1,,,,,,,,,,,,
5906569,ua20962,PH,"46-",4,46,,,,,,44,,,,,,
5906579,ua20380,PH,"16-",4,16,,,,,,3,16,,,,,
5906767,ss0004,PH,"4-",4,4,,,,,,,,,,,,
5907054,ua21977,PH,"1-",4,1,,,,,,2,,,,,,
5907055,ua21286,PH,"18-",4,18,,,,,,2,,,,,,
6990585,ua21792,PH,"1-",4,1,,,,,,,,,,,,
7901103,un1571,PH,"1,",4,1,,,,,,,,,,,,
NaN,un0412,PH,"34-",4,34,,,,,,,,,,,,
