WMO_,MBARIIDSTR,SENSOR,CYCLES,FLAG
5906507,ua20148,PH,"1-14",3
5906508,un1118,PH,"6,30,21,",4
5906511,ua20150,PH,"1-",4
5906514,ua20001,PH,"1-",3
5906515,ua20492,PH,"1,2,",3
5906516,ua20134,PH,"1-",4
5906517,ua20842,PH,"39,",4
5906518,ua20547,PH,"1,",3
5906520,ua20618,PH,"1-",3
5906522,ua20496,PH,"25-",4
5906523,ua20136,PH,"40-",4
5906524,ua20644,PH,"21-",4
5906527,ua20662,PH,"1-",4
5906528,ua20002,PH,"1-",4
5906531,ua20589,PH,"1,",4
5906533,ua20728,PH,"1,",4
5906534,ua20528,PH,"7,",4
5906536,ua20138,PH,"32-",4
5906537,un1448,PH,"23-",4
5906540,un1452,PH,"36-",4
5906541,ua20057,PH,"13-",4
5906541,ua20057,PH,"1-12",3
5906541,ua20057,PH,"1-12",3
5906544,ua19319,PH,"1-",3
5906545,ua19356,PH,"1-",3
5906545,ua19356,PH,"1-",3
5906549,ua21811,PH,"1,",3
5906550,ua20040,PH,"1,",4
5906557,ua20623,PH,"1-",3
5906566,un1367,PH,"1-",3
5906568,ua20039,PH,"1-12",3
5906568,ua20039,PH,"1-",3
5906573,ua21279,PH,"1-",3
5906575,ua21827,PH,"1-",3
5906576,ua21984,PH,"1,",3
5906578,ua20329,PH,"1,",3
5906579,ua20380,PH,"16-",4
5906582,ua20109,PH,"1-",3
5906767,ss0004,PH,"4-",4
5906767,ss0004,PH,"1-3,",3
5907052,ua21499,PH,"1,",3
5907054,ua21977,PH,"1-",4
5907055,ua21286,PH,"1-",3
6990585,ua21792,PH,"1-",4
7901102,un1570,PH,"1,",3
7901103,un1571,PH,"1,",4
7901106,ua21146,PH,"1-",3
NaN,un0412,PH,"34-",4
